Date,Open,High,Low,Close,Adj Close,Volume
2018-01-29,881.060059,887.938904,830.725464,840.341125,840.341125,2640426393
2018-01-30,841.599121,842.673218,748.600281,756.768433,756.768433,2902260822
2018-01-31,756.740112,797.020020,730.940430,787.708740,787.708740,2646728227
2018-02-01,788.455322,814.182556,690.422729,726.806885,726.806885,3688524450
2018-02-02,726.091858,726.244568,531.691895,648.572937,648.572937,4754454844
2018-02-03,650.999268,702.509216,600.347046,682.732971,682.732971,2297082198
2018-02-04,683.191895,686.283264,570.724548,591.553528,591.553528,2124089332
2018-02-05,591.749146,606.904724,460.493652,500.574463,500.574463,3062131615
2018-02-06,507.593048,570.719482,411.504425,568.301819,568.301819,4670586093
2018-02-07,566.371460,611.933899,518.032898,545.477356,545.477356,2807248337
2018-02-08,544.594727,608.544678,544.516235,586.914734,586.914734,2661253015
2018-02-09,587.397705,638.962097,566.528259,638.861572,638.861572,1803989903
2018-02-10,637.851074,663.100830,596.730774,621.911804,621.911804,2118200251
2018-02-11,621.097229,621.097229,569.730408,589.393677,589.393677,1799052316
2018-02-12,591.454224,633.131226,591.283081,627.361145,627.361145,1620170514
2018-02-13,627.784363,628.806946,597.359985,608.843933,608.843933,1499078043
2018-02-14,608.138733,661.404297,608.051147,658.980347,658.980347,2010966855
2018-02-15,659.099548,677.736023,650.747131,664.333557,664.333557,2056225252
2018-02-16,662.780762,672.951050,649.895935,673.233521,673.233521,1689447403
2018-02-17,673.617126,696.324402,670.769348,694.556152,694.556152,1800869920
2018-02-18,694.010010,700.843506,652.723694,658.485535,658.485535,1829727112
2018-02-19,656.879761,684.273071,656.751709,674.671204,674.671204,1550407365
2018-02-20,674.458191,692.144714,637.915405,639.596375,639.596375,1818172749
2018-02-21,638.713501,651.836121,596.754578,611.094238,611.094238,1820209878
2018-02-22,610.584534,630.298645,574.977112,582.684570,582.684570,1541483905
2018-02-23,581.781372,633.899292,569.783508,618.824951,618.824951,1671908411
2018-02-24,616.966003,629.810974,586.143921,601.872559,601.872559,1379577492
2018-02-25,601.116333,610.917297,588.887207,604.818176,604.818176,1179095074
2018-02-26,605.153198,629.976379,600.198792,622.584717,622.584717,1464212561
2018-02-27,623.336670,640.917480,620.729431,631.754456,631.754456,1477470890
2018-02-28,631.516357,640.411499,621.772705,621.872437,621.872437,1428141384
